vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__11,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,0,0,0,288803.968750,8521.979492,77272.941407,10873.223144,28076.774414,64112.095703,88540.722656,23693.262696,147571.101562,241779.398438
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__12,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,1,1,0,20381343.000000,135847.203125,605057547.375000,116681.664062,418017.671875,198721128.343750,392146.828125,134077.156250,148767766.375000,347849.203125
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__13,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,2,2,0,37149992.000000,170615.937500,793084398.000000,142211.257812,268319776.109375,464194.390625,450590.750000,159254.695312,356220.859375,405120.343750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__14,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,3,3,0,54458356.000000,197989.257812,1940452625.000000,154756.000000,295725802.968750,493057.203125,472651.437500,169406.382812,199066587.953125,429227.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__15,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,4,4,0,58481584.000000,204357.218750,926458455.125000,156865.773438,299618348.875000,492131.531250,464920.906250,171033.921875,208671474.046875,220538690.468750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__16,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,5,5,0,63621800.000000,208821.773438,2027812.750000,159498.484375,302274093.875000,244880554.078125,472254.000000,172643.062500,419242.234375,457429.437500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__17,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,6,6,0,65826326.000000,208776.101562,945083072.875000,158613.179688,599707.625000,502065.953125,469552.250000,171629.468750,427015.468750,466024.796875
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__18,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_412,7,7,0,67128122.000000,209822.046875,1988164.875000,157316.679688,594021.937500,244527215.750000,223722495.750000,170677.265625,429715.453125,230972204.640625
