vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__0,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,0,0,0,21676562.000000,119238.156250,151338.328125,1236345750.000000,455197241.531250,835281.375000,110872.917969,310497.625000,376678.781250,406517.593750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__1,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,1,1,0,56437924.000000,239368.250000,140101218.906250,2781192.375000,874324661.750000,659515861.500000,93635791.234375,373226.140625,206790251.984375,227119946.546875
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__2,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,2,2,0,66791382.000000,254861.531250,288951.328125,3081484.875000,1593762750.000000,603881790.750000,173730.953125,331958.625000,286035.921875,244958.101562
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__3,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,3,3,0,23195921.000000,165263.304688,198107.757812,807204981.375000,859676.656250,295587663.656250,68433776.890625,284970.390625,298986.093750,300580.609375
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__4,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,4,4,0,32266427.000000,187726.781250,220813.539062,1995460.875000,600690359.125000,782982.656250,153797.921875,290307.156250,306126.890625,147632703.093750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__5,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,5,5,0,32597116.000000,189841.539062,228738.320312,976089248.750000,617519508.718750,823965.750000,155592.242188,308549.343750,326980.187500,335215.218750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__6,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,6,6,0,37365821.000000,198469.656250,236059.703125,2170532.750000,648005569.093750,879301.437500,159609.710938,149567615.609375,339042.625000,166802137.390625
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__7,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,7,7,0,39846320.000000,202803.882812,239500.148438,2230025.375000,665020212.343750,376562492.375000,161275.148438,325759.250000,183811946.343750,365467.218750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__8,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,8,8,0,41868310.000000,198683.226562,233315.515625,2113978.500000,1028734250.000000,771667.781250,153036.507812,148014813.390625,324766.750000,336480.062500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__9,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_322,9,9,0,37604283.000000,195655.656250,234478.914062,1032851408.500000,1125041.250000,825404.687500,153390.046875,162171139.906250,329784.687500,344532.359375
