vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__26,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,1,1,0,423966.781250,128964.203125,236169.804688,116670.609375,264945.632812,469555.781250,1085158.531250,5209923.000000,40856202.000000,4070447.500000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__27,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,2,2,0,496296.640625,149156.914062,269903.570312,140525.152343,303503.718750,511984.984375,1174240.375000,5983433.000000,53282070.000000,4901085.750000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__28,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,3,3,0,257047744.093750,73436234.554688,275834.687500,149976.601562,327010.578125,524007.031250,562792793.625000,5759189.000000,45952728.000000,4529438.250000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__29,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,4,4,0,511059.218750,154216.593750,277611.828125,153092.851562,346672.281250,539797.500000,594108651.375000,6251051.250000,50231032.000000,4576190.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__30,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,5,5,0,514284.953125,153919.390625,275236.195312,154347.375000,357246.406250,543552.500000,1253457625.000000,6310133.500000,51862418.000000,4650612.250000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__31,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,6,6,0,501832.187500,151502.640625,268108.679688,153473.546875,197314612.484375,548459.734375,1290870.500000,6935777.750000,61000036.000000,5318250.750000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__32,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,7,7,0,258396785.875000,152898.898438,266392.531250,152371.593750,368315.296875,540335.234375,1208320.375000,5891005.750000,48156198.000000,4323987.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__33,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_503,8,8,0,475462.765625,68432644.421875,258486.218750,150926.476562,201388922.296875,291652737.984375,1250867.250000,6565538.250000,54546828.000000,4769943.000000
