vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__0,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,0,0,1251069.000000,22543.148438,31952.072266,157248.156250,182857.140625,210266.937500,32964.203125,113224.234375,170439.421875,220025.781250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__1,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,1,0,20035464.000000,132163.140625,156383625.000000,1307373125.000000,888117.937500,725983.687500,123462.742188,242711.546875,280855.718750,306586.812500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__2,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,2,0,34258232.000000,171466.843750,206451.609375,1850881125.000000,1171624.750000,926068.250000,150058.609375,299065.406250,332899875.000000,354325.250000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__3,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,3,0,42158892.000000,194455.000000,230578.703125,2144502.500000,1321290375.000000,1033299.687500,163109.265625,328731.937500,365322875.000000,391138.281250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__4,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,4,0,50354208.000000,201455.828125,238639.015625,2233978.750000,1391304375.000000,1075630.250000,166287.750000,348180.906250,387365.250000,413403.312500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__5,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,5,0,58202488.000000,212889.812500,248543.687500,2351320.250000,1441238625.000000,1105234.750000,169088.500000,359550.562500,402199.531250,422355125.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__6,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,6,0,55680544.000000,212889.812500,251658.890625,2388338.250000,1450424875.000000,1108825125.000000,171466.843750,366106.531250,413153125.000000,431976375.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__7,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,7,0,62222644.000000,219459.921875,256000.000000,2422235.250000,1470736125.000000,1125274.750000,170439.421875,378768.250000,420275.000000,434450.562500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__8,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,8,0,61782700.000000,218197.312500,255425.296875,2422235.250000,1477100625.000000,1124348125.000000,171123.000000,378138.843750,422616.593750,438919.843750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__9,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,9,0,61262912.000000,216673.718750,254094.296875,2398828.750000,1528643375.000000,1166619.250000,171123.000000,382374.906250,428990375.000000,443770.312500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__10,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,0,heater_322,10,0,65832244.000000,218057.921875,255043.593750,2439547.250000,1535520125.000000,1167616875.000000,172506.734375,385179625.000000,432249.906250,446966375.000000
