vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__0,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,0,0,0,326002.28125,11230.150391,19050.439453,76746.324218,102771.363281,119379.5625,21378.184571,97349.261718,152132.960938,191840.109375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__1,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,1,1,0,9791404.5,108677.140625,129284.511719,976080.9375,471885.15625,374186.28125,98906.273438,193225.90625,220428.820312,249032.507812
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__2,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,2,2,0,13970283.5,126015.878907,148772.875,1170479.8125,521021.453125,398908.03125,109247.089843,213824.101562,226842.9375,235956.09375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__3,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,3,3,0,13535500,132039.832031,161494.828125,1321321.25,588792.4375,422857.296875,112924.617188,218154.875,211489.742188,207243.585938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__4,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,4,4,0,10222956,117984.8125,144653.4375,1123460.1875,448585.265625,321877.5625,99558.511718,191624.429688,202763.585938,208709.335938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__5,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,5,5,0,11297955,119272.011719,147347.023438,1157425.375,465038.578125,330420.5625,101566.136719,194712.0625,202585.101562,204262.359375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__6,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,6,6,0,10648580,115089.050781,140196.335938,1064233.65625,416256.953125,292581.546875,95163.988281,185312.757812,194230.125,199244.890625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__7,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,7,7,0,10310081,114560.03125,142125.921875,1077700.84375,430308.296875,305516.585938,96724.320312,190282.664062,193380.289062,195226.695312
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__8,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,8,8,0,9614153.25,111730.363282,137737.5,1041452.78125,415401.34375,293549.953125,93498.914062,192293.484375,196775.914062,201236.078125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__9,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_322,9,9,0,9954185,110134.894531,135716.90625,1020978.625,407618.09375,290577.351562,91900.304687,190223.453125,197194.164062,196453.554688
