vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__0,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,0,0,314496.312500,11490.125977,18353.886719,71388.734375,96024.007812,111522.546875,20725.388672,90844.570312,145702.906250,183053.265625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__1,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,1,0,8877811.000000,103601.781250,121962.835938,906997.312500,500000.000000,401253.906250,94273.617188,184040.265625,215306.984375,241680.437500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__2,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,2,0,14687584.000000,126295.015625,146957.515625,1149915.750000,581818.187500,453498.656250,108268.132812,213422.265625,228877.968750,238973.156250
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__3,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,3,0,15860600.000000,134031.406250,160501.562500,1314927.750000,656199.937500,482336.312500,112849.898438,222753.968750,221166.312500,216536.265625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__4,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,4,0,11421401.000000,119738.070312,144469.531250,1129931.000000,518612.312500,380245.093750,100313.476562,197607.093750,209621.296875,216673.718750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__5,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,5,0,13000595.000000,122312.468750,148491875.000000,1172631.000000,537815125.000000,389798.250000,103288.281250,203984.062500,211046.984375,215171.250000
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__6,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,6,0,12603077.000000,119738.070312,143016.765625,1105234.750000,496003875.000000,348180.906250,98009.187500,194012.890625,205210.421875,211832.843750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__7,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,7,0,11932993.000000,119319.507812,145083.593750,1107027.000000,505554.187500,359929.687500,98121.882812,199454.609375,205457.468750,207203.562500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__8,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,8,0,11554302.000000,116549.054688,139737.984375,1074783.500000,488899.500000,347118.656250,95862.195312,200744.953125,207707.906250,211177.562500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__9,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,0,heater_322,9,0,12277257.000000,115523.468750,139168.250000,1065556.750000,482336.312500,344665.093750,94849.945312,198757.765625,208341.812500,208469.062500
