vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__47,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,0,0,6046872.000000,59953.160156,404823.093750,51863.855469,159303.046875,216398.984375,238305.796875,74505.242188,262295.093750,311909.843750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__48,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,1,0,20524898.000000,154823.109375,930486125.000000,126108375.000000,461469125.000000,354325.250000,332251.781250,138715.796875,316831.687500,348892.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__49,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,2,0,25352418.000000,165481.578125,994899.187500,130745.656250,481655.687500,359929.687500,331606.218750,142538.968750,335517.687500,365714.281250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__50,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,3,0,27804836.000000,168587.421875,978499.750000,130346.234375,486460.812500,364932.281250,333876.750000,142301.281250,347826.093750,378978.531250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__51,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,4,0,28680962.000000,166775.250000,964672625.000000,129358.265625,478616.500000,356545.968750,327470.406250,140427.859375,349249.656250,385397.062500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__52,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,5,0,29918284.000000,165001.609375,957904.562500,125459.445312,471021.156250,351045.593750,320400.500000,138603.140625,351407.000000,388467375.000000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__53,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,6,0,30145354.000000,163578.281250,972921625.000000,125551.742188,464293.812500,348892.687500,319500.781250,136825.234375,353957.843750,384096.031250
