Timestamp,Experiment ID,Model,Parameters,Feature Level,Feature Set,Imputation,Scaling,Test Ratio,Seed,Train Vectors,Test Vectors,Train Sessions,Test Sessions,Accuracy,Precision,Recall,F1,False Positive Rate,Training Time,Prediction Time,Notes
2026-07-31 11:53:52.262249,20260731_115348_RandomForestClassifier,RandomForestClassifier,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Statistical Features,all_features,Median,True,0.25,7,643,257,11,4,0.6731517509727627,0.7582390942207585,0.6731517509727627,0.6911050115531533,,1.0070995610003592,0.14323274599883,
2026-07-31 11:53:53.363562,20260731_115352_SVC,SVC,"{""C"": 1, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": ""deprecated"", ""random_state"": null, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",Statistical Features,all_features,Median,True,0.25,7,643,257,11,4,0.5797665369649806,0.7118716617433399,0.5797665369649806,0.561242465560285,,0.0222943400003714,0.0111505460008629,
2026-07-31 11:53:54.434426,20260731_115353_KNeighborsClassifier,KNeighborsClassifier,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",Statistical Features,all_features,Median,True,0.25,7,643,257,11,4,0.5953307392996109,0.7260210104240183,0.5953307392996109,0.5878905590115991,,0.0027467750005598,0.048002727999119,
2026-07-31 11:53:58.290566,20260731_115354_MLPClassifier,MLPClassifier,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": ""auto"", ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": false, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate"": ""constant"", ""learning_rate_init"": 0.001, ""max_fun"": 15000, ""max_iter"": 1000, ""momentum"": 0.9, ""n_iter_no_change"": 10, ""nesterovs_momentum"": true, ""power_t"": 0.5, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": false, ""warm_start"": false}",Statistical Features,all_features,Median,True,0.25,7,643,257,11,4,0.5797665369649806,0.645597406473792,0.5797665369649806,0.5893795681223508,,2.835381518001668,0.007087546000548173,
