vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__38,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,1,0,11959124.000000,136935.015625,983433375.000000,121875.742188,424984.437500,395901.812500,392487.531250,143256.859375,294168.343750,341561.031250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__39,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,2,0,19023512.000000,165642.187500,1138410.250000,140891.578125,495284.156250,427111.562500,417192.906250,162642.953125,342933.687500,386706.937500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__40,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,3,0,25908678.000000,191940.015625,1303628.250000,152471.703125,535704.937500,450505.937500,426844.531250,171639.296875,376470.593750,408456.312500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__41,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,4,0,28680962.000000,195121.953125,1340752875.000000,153293.406250,546862.500000,449615.812500,427378.968750,172681.281250,390467125.000000,422616.593750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__42,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,5,0,28737558.000000,192264.359375,1297434.250000,150058.609375,534028.687500,438356.156250,416938125.000000,168421.046875,392036.750000,425249.156250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__43,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,6,0,28889574.000000,192048.015625,1296202.500000,148362.796875,531533875.000000,430613.968750,403387.812500,166612.437500,397284.187500,427914.750000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__44,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,4,heater_412,7,1,30333720.000000,191832.140625,1180743.750000,141475.546875,481316.093750,336510.031250,301442.437500,143016.765625,315951875.000000,427914.750000
