vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__63,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,1,0,55965840.000000,138042.593750,1532934125.000000,126015.257812,509326.031250,294422.093750,248182.265625,128192.289062,231203.437500,254473.156250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__64,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,2,0,71428880.000000,146578875.000000,1692562.000000,131755.015625,538663875.000000,300645.906250,247283.265625,132780.078125,248001.937500,262295.093750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__65,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,3,0,75112896.000000,147211.046875,1647626.750000,129358.265625,528243.500000,292154.062500,240319.171875,131551.906250,255808.140625,267642.437500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__66,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,4,0,79341408.000000,148621.187500,1621215125.000000,129260.289062,536125625.000000,294930875.000000,237476.812500,130745.656250,261091.281250,272340.437500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__67,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,5,0,84891192.000000,148233.937500,1625074375.000000,128096.070312,533194.500000,291405.812500,235673.187500,130346.234375,263103.812500,276756.750000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__68,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,6,0,88772096.000000,146077.031250,1618332625.000000,125922.281250,519006.593750,287964.000000,235024.093750,128967.257812,264736.312500,279475.968750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__69,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,7,0,89316528.000000,146077.031250,1629924375.000000,123910.937500,513927.218750,285794.031250,231046.937500,126388.546875,264531125.000000,277657.281250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__70,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,8,0,90238896.000000,144103.578125,1621215125.000000,122312.468750,504061.031250,281318.687500,228877.968750,125644.171875,261291.140625,276308.687500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__71,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,9,0,87614976.000000,140775.359375,1551221375.000000,120669.335938,489600.750000,274973.156250,222463.609375,123731.273438,259503.296875,279475.968750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__72,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,10,0,87879320.000000,139395.593750,1514232875.000000,117108875.000000,476279.062500,266805625.000000,213422.265625,120840.218750,260294.859375,264736.312500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__73,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,7,heater_413,11,1,79558120.000000,117269.812500,769057.437500,96186.359375,315659.687500,126669.968750,104298.226562,94482375.000000,130845.898438,264736.312500
