vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__43,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,0,0,3855966.000000,35995.500000,286033.531250,34707.160156,104234.531250,162798.093750,195681.250000,55724.859375,213155.703125,269971.000000
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__44,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,1,0,18523460.000000,133611.687500,899824.250000,109378.335938,402674.000000,338512.406250,326843.281250,122840.687500,286754.406250,322215.218750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__45,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,2,0,24499440.000000,148233.937500,967406.687500,118244.804688,440619625.000000,353591.156250,336178.593750,131551.906250,313917.843750,349965.812500
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__46,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,3,0,28475342.000000,155245.609375,1012608.187500,122840.687500,458370625.000000,365714.281250,339185.156250,134878.812500,332899875.000000,364932.281250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__47,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,4,0,31767330.000000,159006.218750,1030959.000000,123731.273438,464926.218750,361837.468750,337508.250000,135199.359375,343624.156250,381307.031250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__48,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,5,0,33317742.000000,159750.390625,1060590375.000000,122929.171875,461157.406250,364153625.000000,336842.093750,135953.265625,348892.687500,385397.062500
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__49,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,5,heater_412,6,0,33267006.000000,158710.484375,1050795.250000,121962.835938,456836.937500,359172.218750,332575.500000,135413.906250,351407.000000,388467375.000000
