vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__24,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,0,2,278563.656250,106312.289062,142538.968750,52599.136719,212757.109375,343278.593750,612623375.000000,2072874.500000,12639537.000000,1358090125.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__25,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,1,0,278563.656250,106312.289062,238973.156250,124453.085938,273212375.000000,411658.281250,736161.062500,2692080.250000,19377882.000000,1929345.250000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__26,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,2,0,316831.687500,119486.578125,259898.484375,147338125.000000,309085.406250,423665.687500,738550.312500,2705416.000000,19309370.000000,1907778.250000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__27,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,3,0,314496.312500,119319.507812,260493.515625,154963.687500,330003.218750,423928.781250,737752.187500,2746228.750000,20524898.000000,2060362125.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__28,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,4,0,318903.781250,120925.835938,259109.312500,159451.890625,339522.531250,411410.218750,707915.687500,2572864.250000,18681870.000000,1812790.500000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__29,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,5,0,299327.687500,115445.320312,253905.281250,158415.843750,345013.468750,398211.156250,668407.312500,2446103.250000,17698082.000000,1743349625.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__30,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,6,0,286995.531250,112182.296875,246568.750000,157975.937500,349607375.000000,409190.812500,681077.500000,2572864.250000,19343566.000000,1779708875.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__31,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,7,0,290661375.000000,113525.500000,241851.671875,155812.531250,346766.000000,397053125.000000,657463875.000000,2357410.000000,17726806.000000,1672860875.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__32,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,8,0,280164.156250,110154.906250,238805.968750,156958.921875,348180.906250,386926125.000000,633663375.000000,2259862.000000,16118052.000000,1604072875.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__33,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,9,0,271042875.000000,106911.671875,234378.578125,154823.109375,348180.906250,376470.593750,621547.812500,2214054.000000,15895222.000000,1609746.500000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__34,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,10,0,269971.000000,106113.992188,233576.640625,153707.593750,350325.000000,381733.468750,623250125.000000,2243154.500000,16082454.000000,1617374125.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__35,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,2,heater_503,11,0,270184.687500,106378.554688,232780.171875,153155.843750,352132.062500,384096.031250,634841.937500,2307605.750000,16570417.000000,1688375875.000000
