hidden_layers,learning_rate,dropout,accuracy,f1_macro,balanced_accuracy
"[32, 16]",0.001,0.0,0.3586206896551724,0.2983973473335175,0.4715023538552951
"[64, 32]",0.001,0.0,0.35172413793103446,0.2974011733880155,0.44974633209927334
"[128, 64]",0.001,0.0,0.3586206896551724,0.30837240854367126,0.4543169249051602
"[128, 64]",0.0001,0.0,0.32413793103448274,0.2764873235378853,0.43818273230037935
"[128, 64]",0.001,0.0,0.33793103448275863,0.2873664136550734,0.4292472233648705
"[128, 64]",0.01,0.0,0.45517241379310347,0.36829676071055384,0.5086155674390969
"[128, 64]",0.01,0.0,0.3931034482758621,0.33707701471393153,0.42412815942227705
"[128, 64]",0.01,0.2,0.496551724137931,0.3945411428834554,0.5284290872526167
"[128, 64]",0.01,0.4,0.503448275862069,0.4050449348732342,0.6119109648521414
